編號,屋齡,建物移轉面積平方公尺,主要用途,主要建材,建築完成日期,總層數,建物分層
The serial number,room age,building shifting area square meter,the main use,main building materials,construction completes the date,total layer,building lamination
RPVOMLMJPHGGFBJ68CC,16,42.06,共有部分,鋼筋混凝土造,94年11月14日,十五層,
RPVOMLMJPHGGFBJ68CC,16,11.66,共有部分,鋼筋混凝土造,94年11月14日,十五層,
RPQOMLLJPHGGFBJ08CC,11,282.66,商業用,鋼筋混凝土造,99年1月6日,二十層,
RPQOMLLJPHGGFBJ08CC,11,57.85,共有部分,鋼筋混凝土造,99年1月6日,二十層,
RPQOMLLJPHGGFBJ08CC,11,16.23,共有部分,鋼筋混凝土造,99年1月6日,二十層,
RPQOMLLJPHGGFBJ08CC,11,123.86,共有部分,鋼筋混凝土造,99年1月6日,二十三層,
RPPPMLRJPHGGFBJ68CC,7,47.40,住家用,鋼筋混凝土造,103年1月27日,十四層,
RPPPMLRJPHGGFBJ68CC,7,24.65,本共有部分之項目有防空避難室兼停車空間、特別安全梯、連續性前廊、管委會使用空間、安全梯、排煙室、梯間、機械室、造型牆、水箱等十項。,鋼筋混凝土造,103年1月27日,十四層,
RPXOMLRJPHGGFBJ76CC,5,68.71,住家用,鋼筋混凝土造,105年9月23日,十五層,
RPXOMLRJPHGGFBJ76CC,5,33.83,本共有部分之項目有防空避難室兼停車空間、水箱、機械室、梯廳、樓梯間、停車空間、台電配電室、電信室、發電機室、門廳、公共服務空間、管委會使用空間、垃圾集中處、樓梯、防災中心、頂蓋式開放空間等十六項。,鋼筋混凝土造,105年9月23日,十五層,
RPPOMLQJPHGGFDJ68CC,25,89.96,住家用,鋼筋混凝土造,85年8月23日,十層,
RPPOMLQJPHGGFDJ68CC,25,11.69,人行道．梯間,鋼筋混凝土造,85年8月23日,十層,
RPPOMLQJPHGGFDJ68CC,25,15.73,停車場．避難室,鋼筋混凝土造,85年8月23日,十層,
RPPQMLQJPHGGFBJ68CC,12,88.27,住家用,鋼筋混凝土造,98年5月4日,十五層,
RPPQMLQJPHGGFBJ68CC,12,7.56,共有部分,鋼筋混凝土造,98年5月4日,十五層,
RPPQMLQJPHGGFBJ68CC,12,28.20,共有部分,鋼筋混凝土造,98年5月4日,十五層,
RPPOMLSJPHGGFCJ78CC,,80.11,住家用,鋼筋混凝土加強磚造,,見其他登記事項,
RPTRMLSJPHGGFDJ96CC,29,96.96,住家用,鋼筋混凝土造,81年12月7日,五層,
RPTRMLSJPHGGFDJ96CC,29,18.04,共有部分,鋼筋混凝土造,81年12月7日,五層,
RPORMLSJPHGGFDJ09CC,2,52.13,集合住宅,鋼筋混凝土造,108年9月17日,五層,
RPORMLSJPHGGFDJ09CC,2,17.32,共有部分,鋼筋混凝土造,108年9月17日,五層,
RPVNMLNKPHGGFCJ88CC,28,104.43,住家用,鋼筋混凝土造,82年10月15日,七層,
RPVNMLNKPHGGFCJ88CC,28,37.45,共有部分,鋼筋混凝土造,82年10月15日,七層,
RPVNMLNKPHGGFCJ88CC,28,13.17,共有部分,鋼筋混凝土造,82年10月15日,七層,
RPXNMLNKPHGGFDJ56CC,23,166.92,住家用,鋼筋混凝土造,87年11月9日,三層,
RPVPMLSJPHGGFBJ76CC,13,84.49,住家用,鋼筋混凝土造,97年6月27日,14,
RPVPMLSJPHGGFBJ76CC,13,19.67,共有部分,鋼筋混凝土造,97年6月27日,十四層,
RPVPMLSJPHGGFBJ76CC,13,17.08,共有部分,鋼筋混凝土造,97年6月27日,14,
RPQPMLLKPHGGFBJ28CC,3,54.01,住家用,鋼筋混凝土造,107年10月26日,十五層,
RPQPMLLKPHGGFBJ28CC,3,20.90,本共有部分之項目有公共服務空間、頂蓋型沿街步道、管委會空間、樓梯間、機房等五項。,鋼筋混凝土造,107年10月26日,十五層,
RPQPMLLKPHGGFBJ28CC,3,38.51,本共有部分之項目有停車空間、防空避難室兼停車空間等２項。,鋼筋混凝土造,107年10月26日,十五層,
RPQPMLSJPHGGFBJ88CC,,63.97,集合住宅,鋼筋混凝土造,109年12月25日,二十四層,
RPQPMLSJPHGGFBJ88CC,,30.43,本共有部分之項目有停車空間、防空避難室兼停車空間、管委會空間、防災中心、梯間、機房、水箱等七項。,鋼筋混凝土造,109年12月25日,二十四層,
RPRPMLSJPHGGFBJ98CC,15,26.53,商業用,鋼筋混凝土造,95年8月21日,七層,
RPRPMLSJPHGGFBJ98CC,15,17.33,共有部分,鋼筋混凝土造,95年8月21日,七層,
RPPOMLKLPHGGFDJ28CC,1,218.23,集合住宅、停車空間、樓梯間,鋼筋混凝土造,109年5月28日,四層,
RPSOMLLLPHGGFBJ48CC,13,33.40,商業用,鋼筋混凝土造,97年9月15日,十六層,
RPSOMLLLPHGGFBJ48CC,13,4.82,共有部分,鋼筋混凝土造,97年9月15日,十六層,
RPSOMLLLPHGGFBJ48CC,13,2.06,共有部分,鋼筋混凝土造,97年9月15日,十六層,
RPSOMLLLPHGGFBJ48CC,13,10.08,共有部分,鋼筋混凝土造,97年9月15日,十六層,
RPXNMLMLPHGGFBJ98CC,14,254.70,住商用,鋼筋混凝土造,96年10月25日,十二層,
RPXNMLMLPHGGFBJ98CC,14,45.20,共有部分,鋼筋混凝土造,96年10月25日,十二層,
RPXNMLMLPHGGFBJ98CC,14,66.95,共有部分,鋼筋混凝土造,96年10月25日,十二層,
RPXOMLNLPHGGFBJ56CC,7,145.98,住家用,鋼筋混凝土造,103年9月24日,二十二層,
RPXOMLNLPHGGFBJ56CC,7,92.33,本共有部分之項目有停車空間、水箱、消防機房、汙水機房、防空避難室兼停車空間、電信室、台電配電室、管理員室、垃圾室、防災中心、排煙室、頂蓋型開放空間、公共服務空間、機房、樓梯間、昇降機間、中繼機房等十八項。,鋼筋混凝土造,103年9月24日,二十三層,
RPXOMLNLPHGGFBJ56CC,7,32.06,本共有部分之項目有排煙室、梯間等二項。,鋼筋混凝土造,103年9月24日,二十三層,
RPOOMLQLPHGGFBJ58CC,20,1404.08,工業用,鋼筋混凝土造,90年6月12日,六層,
RPQOMLQLPHGGFBJ78CC,11,986.32,一般服務業,鋼筋混凝土造,99年3月5日,十四層,
RPQOMLQLPHGGFBJ78CC,11,1088.73,一般服務業,鋼筋混凝土造,99年3月5日,十四層,
RPQOMLQLPHGGFBJ78CC,11,1088.88,一般服務業,鋼筋混凝土造,99年3月5日,十四層,
RPTOMLQLPHGGFBJ09CC,5,349.65,工業用,鋼筋混凝土造,105年12月1日,十層,
RPSOMLQLPHGGFBJ98CC,8,269.52,工業用,鋼筋混凝土造,102年3月18日,十層,
RPVOMLQLPHGGFBJ66CC,5,367.31,工業用,鋼筋混凝土造,105年12月1日,十層,
RPVOMLQLPHGGFBJ66CC,5,340.26,工業用,鋼筋混凝土造,105年12月1日,十層,
RPPOMLQLPHGGFDJ88CC,38,80.91,住家用,鋼筋混凝土造,72年6月28日,四層,
RPXOMLQLPHGGFCJ96CC,28,85.00,住家用,鋼筋混凝土造,82年7月29日,十二層,
RPXOMLQLPHGGFCJ96CC,28,14.28,共有部分,鋼筋混凝土造,82年7月29日,十二層,
RPXOMLQLPHGGFCJ96CC,28,50.15,共有部分,鋼筋混凝土造,82年7月29日,十二層,
RPRNMLQLPHGGFBJ88DC,7,446.54,前廊、店舖、辦公室,鋼筋混凝土造,103年9月24日,二十三層,
RPUNMLRLPHGGFCJ66CC,25,27.77,住家用,鋼筋混凝土造,85年12月24日,十一層,
RPUNMLRLPHGGFCJ66CC,25,6.16,共有部分,鋼筋混凝土造,85年12月24日,十二層,
RPUNMLRLPHGGFCJ66CC,25,1.08,共有部分,鋼筋混凝土造,85年12月24日,十二層,
RPUNMLRLPHGGFCJ66CC,25,1.35,共有部分,鋼筋混凝土造,85年12月24日,十二層,
RPUNMLRLPHGGFCJ66CC,25,2.15,共有部分,鋼筋混凝土造,85年12月24日,十一層,
RPVNMLRLPHGGFCJ76CC,24,100.76,住家用,鋼筋混凝土造,86年5月29日,六層,
RPVNMLRLPHGGFCJ76CC,24,20.01,共有部分,鋼筋混凝土造,86年5月29日,六層,
RPVNMLRLPHGGFCJ76CC,24,19.54,共有部分,鋼筋混凝土造,86年5月29日,六層,
RPTNMLSLPHGGFBJ56CC,13,96.81,商業用,鋼筋混凝土造,97年4月18日,十四層,
RPTNMLSLPHGGFBJ56CC,13,2.83,共有部分,鋼筋混凝土造,97年4月18日,十四層,
RPTNMLSLPHGGFBJ56CC,13,39.86,共有部分,鋼筋混凝土造,97年4月18日,十四層,
RPUNMLTLPHGGFDJ96CC,21,17.88,住家用,鋼筋混凝土造,89年8月1日,六層,
RPUNMLTLPHGGFDJ96CC,21,8.06,停車空間．住宅．水箱．受電室,鋼筋混凝土造,89年8月1日,六層,
RPXNMLSLPHGGFBJ96CC,27,125.73,住商用,鋼筋混凝土造,83年3月15日,七層,
RPXNMLSLPHGGFBJ96CC,27,50.88,共有部分,鋼筋混凝土造,83年3月15日,七層,
RPVNMLTLPHGGFDJ07CC,14,73.68,住家用,鋼筋混凝土造,96年2月2日,五層,
RPVNMLTLPHGGFDJ07CC,14,6.76,梯間,鋼筋混凝土造,96年2月2日,五層,
RPWNMLTLPHGGFDJ17CC,37,96.34,住家用,鋼筋混凝土造,73年4月27日,四層,
RPOOMLTLPHGGFDJ09CC,,74.86,住家用,鋼筋混凝土造,,五層,
RPOOMLTLPHGGFDJ09CC,26,5.78,共有部分,鋼筋混凝土造,84年7月13日,五層,
