鄉鎮市區,交易標的,土地位置建物門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元,備註,編號,建案名稱
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number,build case
五結鄉,房地(土地+建物)+車位,宜蘭縣五結鄉西河三路,46.71,住,,,1100806,土地1建物1車位1,二層,5,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,99.19,3,2,2,有,無,6080000,61297,一樓平面,0.0,0,,RPRNMLOLQHGGFAG18CB,文創易居二期
員山鄉,房地(土地+建物),宜蘭縣員山鄉七賢路,91.51,,鄉村區,乙種建築用地,1100816,土地2建物1車位0,全,3,透天厝,住家用,鋼筋混凝土造,,150.75,4,2,3,有,無,7650000,50746,,0.0,0,,RPPNMLOLQHGGFBG18DB,麗璟綻
宜蘭市,房地(土地+建物),宜蘭縣宜蘭市環市東路2段283號,103.07,農,,,1100819,土地3建物1車位0,全,3,透天厝,住家用,鋼骨鋼筋混凝土造,,167.72,4,2,3,有,無,13880000,82757,,0.0,0,,RPVNMLOLQHGGFBG78DB,高第8
宜蘭市,房地(土地+建物)+車位,宜蘭縣宜蘭市中山路五段,19.54,住,,,1100806,土地1建物1車位1,一層,6,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,98.23,2,1,1,有,無,5350000,75562,坡道平面,40.0,950000,,RPXNMLOLQHGGFBG98DB,二代知筑
宜蘭市,房地(土地+建物)+車位,宜蘭縣宜蘭市慈航二路,51.47,,特定農業區,甲種建築用地,1100706,土地4建物1車位1,四層,4,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,136.05,3,2,2,有,無,9000000,69574,升降機械,12.44,400000,,RPROMLOLQHGGFBG48DB,藏睿
宜蘭市,房地(土地+建物)+車位,宜蘭縣宜蘭市慈航二路,45.65,,特定農業區,甲種建築用地,1100722,土地4建物1車位1,四層,4,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,134.29,3,2,2,有,無,9470000,79243,一樓平面,24.88,800000,,RPSOMLOLQHGGFBG58DB,藏睿
宜蘭市,房地(土地+建物)+車位,宜蘭縣宜蘭市慈航二路,51.58,,特定農業區,甲種建築用地,1100721,土地4建物1車位1,三層,4,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,148.49,3,2,2,有,無,9150000,68360,一樓平面,24.88,700000,,RPTOMLOLQHGGFBG68DB,藏睿
宜蘭市,房地(土地+建物)+車位,宜蘭縣宜蘭市慈航二路,36.05,,特定農業區,甲種建築用地,1100717,土地4建物1車位1,四層,4,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,112.61,2,2,2,有,無,7000000,71811,一樓平面,24.88,700000,,RPVOMLOLQHGGFBG88DB,藏睿
宜蘭市,房地(土地+建物)+車位,宜蘭縣宜蘭市宜興路三段,39.73,住,,,1100717,土地1建物1車位1,三層,10,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,153.32,3,2,2,有,無,8350000,60285,坡道平面,31.4,1000000,,RPWOMLOLQHGGFBG98DB,歡喜家園.20
宜蘭市,房地(土地+建物)+車位,宜蘭縣宜蘭市宜興路三段,39.73,住,,,1100802,土地1建物1車位1,四層,10,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,153.32,3,2,2,有,無,8320000,60039,坡道平面,31.4,1000000,,RPXOMLOLQHGGFBG09DB,歡喜家園.20
