鄉鎮市區,交易標的,土地位置建物門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元,備註,編號,建案名稱
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number,build case
內埔鄉,房地(土地+建物),屏東縣內埔鄉學人段454-11地號,126.7,住,,,1100718,土地1建物1車位0,全,3,透天厝,見其他登記事項,鋼筋混凝土造,,214.92,5,2,3,有,無,10600000,49321,,0.0,0,,RPRNMLSJQHGGFCT27CB,皇家欣天地二期
長治鄉,房地(土地+建物)+車位,屏東縣長治鄉潭頭段279號,23.9,商,,,1100730,土地1建物1車位1,八層,9,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,137.83,3,2,2,有,無,7700000,54720,一樓平面,20.87,1300000,,RPPNMLSJQHGGFAT86CB,聯協敦峰
屏東巿,房地(土地+建物),屏東縣屏東市建豐路63巷28弄,78.0,住,,,1100728,土地1建物1車位0,全,4,透天厝,住家用,鋼筋混凝土造,,197.92,3,2,4,有,無,12680000,64066,,0.0,0,,RPQNMLKKQHGGFAT88CB,御上苑
屏東巿,房地(土地+建物),屏東縣屏東市建豐路63巷28弄,78.0,住,,,1100618,土地1建物1車位0,全,4,透天厝,住家用,鋼筋混凝土造,,194.41,3,2,4,有,無,12600000,64811,,0.0,0,,RPRNMLKKQHGGFAT98CB,御上苑
屏東巿,房地(土地+建物)+車位,屏東縣屏東市徐州路,32.92,住,,,1100726,土地1建物1車位1,十層,14,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,,176.27,3,2,2,有,無,8680000,57421,坡道平面,42.52,1000000,,RPPNMLMKQHGGFAT98CB,香榭時尚
屏東巿,房地(土地+建物)+車位,屏東縣屏東市和生路一段,29.15,住,,,1100310,土地1建物1車位1,二層,5,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,84.93,2,2,2,有,無,4800000,50105,一樓平面,9.09,1000000,,RPQNMLMKQHGGFAT09CB,小倆口5
屏東巿,房地(土地+建物)+車位,屏東縣屏東市和生路一段,29.15,住,,,1091223,土地1建物1車位1,三層,5,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,84.93,2,2,2,有,無,4850000,50765,一樓平面,9.09,1000000,,RPRNMLMKQHGGFAT56CB,小倆口5
屏東巿,房地(土地+建物),屏東縣屏東市和生路一段,29.15,住,,,1091129,土地1建物1車位0,四層,5,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,75.84,2,2,2,有,無,3960000,52215,,0.0,0,,RPSNMLMKQHGGFAT66CB,小倆口5
屏東巿,房地(土地+建物),屏東縣屏東市和生路一段,29.15,住,,,1091129,土地1建物1車位0,五層,5,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,75.84,2,2,2,有,無,3980000,52479,,0.0,0,,RPTNMLMKQHGGFAT76CB,小倆口5
屏東巿,房地(土地+建物),屏東縣屏東市和生路一段,25.94,住,,,1100417,土地1建物1車位0,二層,5,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,67.46,2,2,2,有,無,3510000,52031,,0.0,0,,RPUNMLMKQHGGFAT86CB,小倆口5
