編號,屋齡,建物移轉面積平方公尺,主要用途,主要建材,建築完成日期,總層數,建物分層
The serial number,room age,building shifting area square meter,the main use,main building materials,construction completes the date,total layer,building lamination
RPWNMLRJOHGGFAP86DA,2,208.15,住宅、樓梯間,鋼筋混凝土造,108年7月19日,三層,一層 二層 三層 陽台 見其他登記事項
RPWNMLPJNHGGFBP66DA,,110.58,住家用,鋼筋混凝土造,110年2月2日,三層,一層 二層 三層 陽台
RPXNMLPJNHGGFBP76DA,,110.58,住家用,鋼筋混凝土造,110年2月2日,三層,一層 二層 三層 陽台
RPPOMLPJNHGGFBP68DA,,117.83,住家用,鋼筋混凝土造,110年2月2日,三層,一層 二層 三層 陽台
RPQOMLPJNHGGFBP78DA,,117.60,住家用,鋼筋混凝土造,110年2月2日,三層,一層 二層 三層 陽台
RPOOMLPJNHGGFBP58DA,,117.60,住家用,鋼筋混凝土造,110年2月2日,三層,一層 二層 三層 陽台
RPRPMLPJNHGGFBP98DA,,62.04,住家用,鋼筋混凝土造,110年2月2日,三層,一層 二層 三層 陽台
RPRPMLPJNHGGFBP98DA,,62.04,住家用,鋼筋混凝土造,110年2月2日,三層,一層 二層 三層 陽台
RPROMLPJNHGGFBP88DA,,119.93,住家用,鋼筋混凝土造,110年2月2日,三層,一層 二層 三層 陽台
RPQNMLTJOHGGFCP66DA,,200.45,住家用,鋼筋混凝土造,110年4月1日,三層,一層 二層 三層 陽台
RPPNMLLKOHGGFCP48DA,38,107.50,住商用,加強磚造,72年7月13日,二層,一層 二層 騎樓
RPPNMLTJOHGGFDP66DA,4,148.83,住宅、樓梯間,鋼筋混凝土造,106年7月14日,三層,一層 二層 三層 屋頂突出物
RPOOMLTJOHGGFDP66DA,3,170.47,停車空間、住宅,鋼筋混凝土造,107年9月27日,四層,一層 二層 三層 四層 陽台
RPQNMLLKOHGGFDP68DA,44,315.69,住商用,加強磚造,66年8月5日,三層,一層 二層 三層 騎樓
RPPNMLRJOHGGFFP66DA,7,182.87,一般事務所,鋼筋混凝土造,102年12月19日,三層,一層 二層 三層 陽台
RPQNMLSJNHGGFFP76DA,5,186.36,店鋪，停車空間，住宅，梯間,鋼筋混凝土造,105年4月20日,三層,見其他登記事項 見其他登記事項
RPTNMLPKOHGGFEP96EA,40,86.67,住家用,鋼筋混凝土加強磚造,70年4月15日,一層,一層 騎樓
RPTNMLLKOHGGFAP78EA,27,101.14,住家用,鋼筋混凝土造,82年11月26日,十層,十層 陽台
RPTNMLLKOHGGFAP78EA,,9.81,共同部份,鋼筋混凝土造,,十層,
RPTNMLLKOHGGFAP78EA,27,24.40,共同部份,鋼筋混凝土造,82年11月26日,十層,
RPPNMLPKOHGGFBP88EA,3,202.85,住宅、停車空間、水塔,鋼筋混凝土造,107年6月1日,四層,一層 二層 三層 四層 陽台 見其他登記事項
RPXNMLLKOHGGFAP56EA,26,87.17,住家用,鋼筋混凝土造,83年12月9日,九層,六層 陽台
RPXNMLLKOHGGFAP56EA,26,30.63,共同部份,鋼筋混凝土造,83年12月9日,九層,
RPRNMLTJOHGGFAP66EA,1,74.99,集合住宅,鋼筋混凝土造,109年11月16日,五層,四層 陽台
RPRNMLTJOHGGFAP66EA,1,7.60,公設停車空間,鋼筋混凝土造,109年11月16日,五層,
RPRNMLTJOHGGFAP66EA,1,17.91,公設樓梯間、公設水箱、公設電梯機械室,鋼筋混凝土造,109年11月16日,五層,
