鄉鎮市區,交易標的,土地位置建物門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元,備註,編號,建案名稱
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number,build case
七堵區,房地(土地+建物)+車位,基隆市七堵區堵南街,36.15,住,,,1100607,土地1建物1車位1,十層,10,華廈(10層含以下有電梯),住商用,鋼筋混凝土造,,156.31,3,2,2,有,無,10360000,68507,坡道平面,26.98,1500000,,RPSNMLKKQHGGFDC67CB,萬隆青青二期
七堵區,房地(土地+建物)+車位,基隆市七堵區堵南街,35.56,住,,,1100511,土地1建物1車位1,二層,7,華廈(10層含以下有電梯),住商用,鋼筋混凝土造,,154.38,3,2,2,有,無,9700000,62794,坡道平面,26.98,1700000,,RPPNMLMKQHGGFDC57CB,萬隆青青二期
七堵區,房地(土地+建物)+車位,基隆市七堵區堵南街,36.44,住,,,1100511,土地1建物1車位1,二層,7,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,156.96,3,2,2,有,無,9600000,62317,坡道平面,26.98,1500000,,RPQNMLMKQHGGFDC67CB,萬隆青青二期
七堵區,房地(土地+建物)+車位,基隆市七堵區堵南街,35.56,住,,,1100511,土地1建物1車位1,二層,7,華廈(10層含以下有電梯),住商用,鋼筋混凝土造,,154.38,3,2,2,有,無,9200000,59655,坡道平面,26.98,1600000,,RPRNMLMKQHGGFDC77CB,萬隆青青二期
七堵區,房地(土地+建物)+車位,基隆市七堵區堵南街,35.56,住,,,1100501,土地1建物1車位1,三層,7,華廈(10層含以下有電梯),住商用,鋼筋混凝土造,,154.38,3,2,2,有,無,9800000,63579,坡道平面,26.98,1700000,,RPSNMLMKQHGGFDC87CB,萬隆青青二期
七堵區,房地(土地+建物)+車位,基隆市七堵區堵南街,36.15,住,,,1100508,土地1建物1車位1,二層,10,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,156.31,3,2,2,有,無,9600000,62630,坡道平面,26.98,1500000,,RPTNMLMKQHGGFDC97CB,萬隆青青二期
七堵區,房地(土地+建物)+車位,基隆市七堵區堵南街,36.44,住,,,1100425,土地1建物1車位1,四層,7,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,156.96,3,2,2,有,無,9800000,63087,坡道平面,26.98,1600000,,RPUNMLMKQHGGFDC08CB,萬隆青青二期
七堵區,房地(土地+建物)+車位,基隆市七堵區堵南街,36.15,住,,,1100511,土地1建物1車位1,七層,10,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,156.26,3,2,2,有,無,9990000,64124,坡道平面,26.98,1700000,,RPVNMLMKQHGGFDC18CB,萬隆青青二期
七堵區,房地(土地+建物)+車位,基隆市七堵區堵南街,36.44,住,,,1100511,土地1建物1車位1,三層,7,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,156.96,3,2,2,有,無,9800000,63087,坡道平面,26.98,1600000,,RPWNMLMKQHGGFDC28CB,萬隆青青二期
七堵區,房地(土地+建物)+車位,基隆市七堵區堵南街,36.44,住,,,1100413,土地1建物1車位1,二層,7,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,156.96,3,2,2,有,無,9500000,60779,坡道平面,26.98,1600000,,RPXNMLMKQHGGFDC38CB,萬隆青青二期
