鄉鎮市區,交易標的,土地位置建物門牌,土地面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,租賃年月日,租賃筆棟數,租賃層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,有無附傢俱,總額元,單價元平方公尺,車位類別,車位面積平方公尺,車位總額元,備註,編號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,Whether there is attaches the furniture,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number
暖暖區,建物,基隆市暖暖區碇內街２６７號４樓,0.0,住,,,1100603,土地1建物0車位0,四層,6,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0840808,109.06,3,1,2,有,無,無,7800,72,,0.0,0,108年度基隆市社會住宅包租代管第2期計畫,RPVQMLMLOHGGFDC48CC
中正區,建物,基隆市中正區新豐街４６０號之１２  １８樓,0.0,住,,,1100607,土地1建物0車位0,十八層,18,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0861121,37.71,1,1,1,有,無,無,6500,172,,0.0,0,108年度基隆市社會住宅包租代管第2期計畫,RPWQMLMLOHGGFDC58CC
中正區,建物,基隆市中正區新豐街３６０號３樓,0.0,住,,,1100608,土地1建物0車位0,三層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0850309,67.73,2,1,1,有,無,無,8000,118,,0.0,0,108年度基隆市社會住宅包租代管第2期計畫,RPVOMLNLOHGGFDC38CC
中正區,建物,基隆市中正區豐稔街２６巷５５之３號,0.0,商,,,1100609,土地1建物0車位0,四層,5,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0700428,71.7,2,1,1,有,無,無,7000,98,,0.0,0,108年度基隆市社會住宅包租代管第2期計畫,RPWOMLNLOHGGFDC48CC
暖暖區,建物,基隆市暖暖區碇內街３９６號２樓,0.0,住,,,1100609,土地1建物0車位0,二層,6,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0840808,91.3,3,1,1,有,無,無,10500,115,,0.0,0,108年度基隆市社會住宅包租代管第2期計畫,RPXOMLNLOHGGFDC58CC
中正區,建物,基隆市中正區調和街２９６號１１樓之１,0.0,住,,,1100615,土地1建物0車位0,十一層,14,住宅大樓(11層含以上有電梯),集合住宅,鋼筋混凝土造,1080212,136.8,3,1,2,有,無,無,12000,88,,0.0,0,108年度基隆市社會住宅包租代管第2期計畫,RPOPMLNLOHGGFDC77CC
中正區,建物,基隆市中正區祥豐街９５號２樓之４,0.0,住,,,1100607,土地1建物0車位0,二層,7,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0880510,33.43,1,1,1,有,無,無,6100,182,,0.0,0,108年度基隆市社會住宅包租代管第2期計畫,RPVPMLNLOHGGFDC48CC
暖暖區,建物,基隆市暖暖區暖中路５３之３號,0.0,住,,,1100622,土地1建物0車位0,四層,4,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0700902,84.7,3,2,2,有,無,無,7800,92,,0.0,0,108年度基隆市社會住宅包租代管第2期計畫,RPPQMLNLOHGGFDC97CC
七堵區,建物,基隆市七堵區東新街１７之２號,0.0,商,,,1100619,土地1建物0車位0,三層,4,公寓(5樓含以下無電梯),住家用,鋼筋混凝土加強磚造,0660709,63.36,2,1,1,有,無,無,9500,150,,0.0,0,108年度基隆市社會住宅包租代管第2期計畫,RPQQMLNLOHGGFDC08CC
中正區,建物,基隆市中正區調和街２９６號１０樓,0.0,住,,,1100614,土地1建物0車位0,十層,14,住宅大樓(11層含以上有電梯),集合住宅,鋼筋混凝土造,1080212,144.06,3,1,2,有,無,無,12000,83,,0.0,0,108年度基隆市社會住宅包租代管第2期計畫,RPSQMLNLOHGGFDC28CC
