鄉鎮市區,交易標的,土地位置建物門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元,備註,編號,建案名稱
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number,build case
新店區,房地(土地+建物)+車位,新北市新店區文記街,16.01,住,,,1100816,土地1建物1車位1,九層,24,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,111.15,2,2,1,有,無,18130000,198500,坡道平面,31.15,2250000,,RPPNMLQLQHGGFCF28CB,宏普中央公園2 Garden Park
三重區,房地(土地+建物),新北市三重區中華路76巷,20.07,住,,,1100731,土地6建物1車位0,二層,12,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,109.66,3,2,2,有,無,15400000,140434,,0.0,0,,RPVNMLQLQHGGFGF66CB,悠遊居
三重區,房地(土地+建物)+車位,新北市三重區成功路108巷,14.73,住,,,1100817,土地1建物1車位1,十八層,20,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,106.47,2,2,1,有,無,17270000,178310,坡道機械,19.15,1700000,,RPQPMLQLQHGGFGF98CB,順天淳美術
三重區,房地(土地+建物)+車位,新北市三重區成功路108巷,14.73,住,,,1100817,土地1建物1車位1,十二層,20,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,106.47,2,2,1,有,無,16880000,173843,坡道機械,19.15,1700000,,RPRPMLQLQHGGFGF09CB,順天淳美術
三重區,房地(土地+建物)+車位,新北市三重區元信二街與環河北路二段口,13.43,住,,,1100817,土地1建物1車位1,八層,12,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,107.38,2,2,1,有,無,12450000,132370,坡道平面,29.19,2100000,,RPRQMLQLQHGGFGF56CB,麗捷花園廣場
三重區,房地(土地+建物)+車位,新北市三重區元信二街與環河北路二段口,21.01,住,,,1100818,土地1建物1車位1,六層,12,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,152.2,3,2,2,有,無,19050000,135355,坡道平面,29.19,2400000,,RPTQMLQLQHGGFGF76CB,麗捷花園廣場
三重區,房地(土地+建物)+車位,新北市三重區元信一街A2-10F,24.49,住,,,1100818,土地1建物1車位1,十層,10,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,153.16,3,2,2,有,無,18700000,136125,坡道平面,33.05,2350000,,RPUQMLQLQHGGFGF86CB,大亮時代六
永和區,房地(土地+建物)+車位,新北市永和區中正路,15.15,商,,,1100804,土地8建物1車位1,十四層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,183.6,3,2,2,有,無,31200000,198475,升降平面,37.99,2300000,,RPPNMLQLQHGGFHF78CB,詠和心
中和區,房地(土地+建物)+車位,新北市中和區連城路469巷21弄22號旁,15.95,住,,,1100816,土地1建物1車位1,十三層,14,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,146.63,3,2,2,有,無,18150000,135698,坡道平面,29.09,2200000,,RPTNMLQLQHGGFHF56CB,錦和苑
中和區,房地(土地+建物)+車位,新北市中和區連城路469巷21弄22號旁,17.8,住,,,1100816,土地1建物1車位1,五層,14,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,144.9,3,2,2,有,無,18420000,126994,坡道機械,13.24,1700000,,RPUNMLQLQHGGFHF66CB,錦和苑
