鄉鎮市區,交易標的,土地位置建物門牌,土地面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,租賃年月日,租賃筆棟數,租賃層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,有無附傢俱,總額元,單價元平方公尺,車位類別,車位面積平方公尺,車位總額元,備註,編號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,Whether there is attaches the furniture,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number
桃園區,建物,桃園市桃園區莊敬路一段２３６巷２號３樓,0.0,住,,,1100805,土地0建物1車位0,見其他登記事項,16,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0880501,157.93,4,3,2,有,有,有,18400,117,,0.0,0,水電瓦斯費及每月管理費2600元整，由承租人負擔,RPPQMLTKQHGGFAH88CC
蘆竹區,建物,桃園市蘆竹區安中街３巷１０號３樓,0.0,工,,,1100813,土地0建物1車位1,三層,4,廠辦,作業廠房、作業廠房（附屬停車空間、辦公室）,鋼筋混凝土造,1050525,177.55,0,0,0,無,有,無,30000,169,坡道平面,0.0,0,租賃範圍含車位299建號，但無法區分車位面積,RPTNMLTKQHGGFEH76CC
蘆竹區,建物,桃園市蘆竹區新興街１３８-２號２樓,0.0,,一般農業區,丁種建築用地,1100807,土地0建物0車位0,二層,9,華廈(10層含以下有電梯),研究發展設施,鋼筋混凝土造,0990624,36.22,1,0,1,有,無,有,6500,179,,0.0,0,,RPXNMLTKQHGGFEH17CC
蘆竹區,建物,桃園市蘆竹區新興街１３８-２號２樓,0.0,,一般農業區,丁種建築用地,1100813,土地0建物0車位0,二層,9,華廈(10層含以下有電梯),研究發展設施,鋼筋混凝土造,0990624,36.22,1,0,1,有,無,有,6500,179,,0.0,0,,RPOOMLTKQHGGFEH98CC
蘆竹區,建物,桃園市蘆竹區新興街１３８-２號９樓,0.0,,一般農業區,丁種建築用地,1100801,土地0建物0車位0,九層,9,華廈(10層含以下有電梯),研究發展設施,鋼筋混凝土造,0990624,35.36,1,0,1,有,無,有,7000,198,,0.0,0,,RPPOMLTKQHGGFEH09CC
蘆竹區,建物,桃園市蘆竹區新興街１３８-２號９樓,0.0,,一般農業區,丁種建築用地,1100808,土地0建物0車位0,九層,9,華廈(10層含以下有電梯),研究發展設施,鋼筋混凝土造,0990624,35.36,1,0,1,有,無,有,6500,184,,0.0,0,,RPQOMLTKQHGGFEH56CC
蘆竹區,建物,桃園市蘆竹區新興街１３８-２號９樓,0.0,,一般農業區,丁種建築用地,1100807,土地0建物0車位0,九層,9,華廈(10層含以下有電梯),研究發展設施,鋼筋混凝土造,0990624,35.36,1,0,1,有,無,有,6300,178,,0.0,0,,RPROMLTKQHGGFEH66CC
蘆竹區,建物,桃園市蘆竹區新興街１３８-１號９樓,0.0,,一般農業區,丁種建築用地,1100807,土地0建物0車位0,九層,9,華廈(10層含以下有電梯),研究發展設施,鋼筋混凝土造,0990624,31.47,1,0,1,有,無,有,6000,191,,0.0,0,,RPSOMLTKQHGGFEH76CC
蘆竹區,建物,桃園市蘆竹區新興街１３８-１號３樓,0.0,,一般農業區,丁種建築用地,1100803,土地0建物0車位0,三層,9,華廈(10層含以下有電梯),研究發展設施,鋼筋混凝土造,0990624,30.77,1,0,1,有,無,有,6500,211,,0.0,0,,RPUOMLTKQHGGFEH96CC
蘆竹區,建物,桃園市蘆竹區新興街１３８-１號３樓,0.0,,一般農業區,丁種建築用地,1100803,土地0建物0車位0,三層,9,華廈(10層含以下有電梯),研究發展設施,鋼筋混凝土造,0990624,30.77,1,0,1,有,無,有,6500,211,,0.0,0,,RPWOMLTKQHGGFEH17CC
