鄉鎮市區,交易標的,土地位置建物門牌,土地面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,租賃年月日,租賃筆棟數,租賃層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,有無附傢俱,總額元,單價元平方公尺,車位類別,車位面積平方公尺,車位總額元,備註,編號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,Whether there is attaches the furniture,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number
內埔鄉,建物,屏東縣內埔鄉壽比路２３２號５樓之２,32.59,,鄉村區,乙種建築用地,1101220,土地0建物0車位0,五層,9,華廈(10層含以下有電梯),集合住宅,鋼筋混凝土構造,1051104,32.59,1,0,1,有,無,有,5600,172,,0.0,0,,RPPPMLTKJHHGFCT96CC
內埔鄉,建物,屏東縣內埔鄉壽比路２３０號７樓之３,29.86,,鄉村區,乙種建築用地,1101221,土地0建物0車位0,七層,9,華廈(10層含以下有電梯),集合住宅,鋼筋混凝土構造,1051104,29.86,1,0,1,有,無,有,5600,188,,0.0,0,,RPQPMLTKJHHGFCT07CC
內埔鄉,建物,屏東縣內埔鄉壽比路２３０號２樓,30.03,,鄉村區,乙種建築用地,1110106,土地0建物0車位0,二層,9,華廈(10層含以下有電梯),集合住宅,鋼筋混凝土構造,1051104,30.03,1,0,1,有,無,有,5400,180,,0.0,0,,RPRPMLTKJHHGFCT17CC
內埔鄉,建物,屏東縣內埔鄉壽比路２３２號３樓之２,32.59,,鄉村區,乙種建築用地,1110102,土地0建物0車位0,三層,9,華廈(10層含以下有電梯),集合住宅,鋼筋混凝土構造,1051104,32.59,1,0,1,有,無,有,6000,184,,0.0,0,,RPSPMLTKJHHGFCT27CC
內埔鄉,建物,屏東縣內埔鄉福泰路３-７號１樓,29.52,,鄉村區,乙種建築用地,1101230,土地0建物0車位0,一層,9,華廈(10層含以下有電梯),集合住宅,鋼筋混凝土構造,1031217,29.52,1,0,1,有,無,有,5000,169,,0.0,0,,RPTPMLTKJHHGFCT37CC
內埔鄉,建物,屏東縣內埔鄉福泰路３-１０號４樓,33.5,,鄉村區,乙種建築用地,1110103,土地0建物0車位0,四層,9,華廈(10層含以下有電梯),集合住宅,鋼筋混凝土構造,1031217,33.5,1,0,1,有,無,有,5000,149,,0.0,0,,RPUPMLTKJHHGFCT47CC
內埔鄉,建物,屏東縣內埔鄉福泰路３-９號５樓,33.24,,鄉村區,乙種建築用地,1101231,土地0建物0車位0,五層,9,華廈(10層含以下有電梯),集合住宅,鋼筋混凝土構造,1031217,33.24,1,0,1,有,無,有,5000,150,,0.0,0,,RPWPMLTKJHHGFCT67CC
屏東市,房地(土地+建物),屏東縣屏東市機場北路４８２號１１樓,10.0,住,,,1110101,土地1建物1車位0,十一層,14,住宅大樓(11層含以上有電梯),集合住宅,鋼筋混凝土造,0881204,157.81,3,2,2,有,有,有,14000,89,,0.0,0,,RPXOMLTKJHHGFAT47CC
屏東市,房地(土地+建物),屏東縣屏東市勝利路３２２巷１之４號,37.5,住,,,1110112,土地1建物1車位0,五層,5,公寓(5樓含以下無電梯),集合住宅,鋼筋混凝土造,0720620,89.21000000000001,3,2,2,有,無,有,10000,112,,0.0,0,110年度屏東縣政府包租代管計畫,RPUPMLLLJHHGFAT56CC
屏東市,房地(土地+建物),屏東縣屏東市華盛街２７號２樓之１,45.61,住,,,1110114,土地1建物1車位0,二層,14,住宅大樓(11層含以上有電梯),集合住宅,鋼筋混凝土造,0930909,181.01,3,2,2,有,有,有,13500,75,,0.0,0,110年度屏東縣政府包租代管計畫,RPOQMLLLJHHGFAT68CC
