編號,屋齡,建物移轉面積平方公尺,主要用途,主要建材,建築完成日期,總層數,建物分層
The serial number,room age,building shifting area square meter,the main use,main building materials,construction completes the date,total layer,building lamination
RPVOMLSKJHHGFAI68CC,24,15.59,共有部份,鋼筋混凝土造,87年3月19日,二十二層,
RPUOMLSKJHHGFAI58CC,24,11.52,共有部份,鋼筋混凝土造,87年3月19日,二十二層,
RPVOMLSKJHHGFAI68CC,24,18.09,共有部份,鋼筋混凝土造,87年3月19日,二十二層,
RPUOMLSKJHHGFAI58CC,24,12.92,共有部份,鋼筋混凝土造,87年3月19日,二十二層,
RPWNMLRKJHHGFAI58CC,54,97.46,住家用,鋼筋混凝土加強磚造,56年11月15日,二層,
RPPPMLKLJHHGFAI47CC,27,342.46,住家用,鋼筋混凝土造,83年11月23日,十一層,
RPOPMLKLJHHGFAI37CC,44,149.15,住商用,鋼筋混凝土造,67年2月17日,三層,
RPSOMLKLJHHGFAI77DC,54,161.54,住商用,鋼筋混凝土加強磚造,57年3月31日,三層,
RPWOMLSKJHHGFAI78CC,24,89.09,住家用,鋼筋混凝土造,87年3月19日,二十二層,
RPWOMLSKJHHGFAI78CC,24,15.84,共有部份,鋼筋混凝土造,87年3月19日,二十二層,
RPWOMLSKJHHGFAI78CC,24,19.39,共有部份,鋼筋混凝土造,87年3月19日,二十二層,
RPRNMLLLJHHGFAI57CC,26,61.82,住家用,鋼筋混凝土造,85年3月11日,二十層,
RPSNMLLLJHHGFAI67CC,28,38.70,住家用,鋼筋混凝土造,83年3月19日,七層,
RPQNMLMLJHHGFAI57CC,29,67.02,住家用,鋼筋混凝土造,82年1月5日,十二層,
RPQNMLMLJHHGFAI57CC,29,16.05,共有部份,鋼筋混凝土造,82年1月5日,十二層,
RPQNMLMLJHHGFAI57CC,29,3.34,共有部份,鋼筋混凝土造,82年1月5日,十二層,
RPQOMLMLJHHGFAI67CC,17,115.54,住家用,鋼筋混凝土造,93年11月3日,十四層,
RPQOMLMLJHHGFAI67CC,17,72.35,共有部份,鋼筋混凝土造,93年11月3日,十四層,
RPTNMLMLJHHGFAI87CC,24,89.09,住家用,鋼筋混凝土造,87年3月19日,二十二層,
RPTNMLMLJHHGFAI87CC,24,16.26,共有部份,鋼筋混凝土造,87年3月19日,二十二層,
RPTNMLMLJHHGFAI87CC,24,19.39,共有部份,鋼筋混凝土造,87年3月19日,二十二層,
RPQNMLPLJHHGFAI87CC,35,270.95,住商用,鋼筋混凝土造,76年2月14日,五層,
RPSNMLQLJHHGFAI18CC,43,96.70,住商用,鋼筋混凝土加強磚造,67年10月27日,二層,
RPXNMLOLJHHGFAI58DC,23,104.23,停車空間、店舖,鋼筋混凝土造,87年9月16日,五層,
RPSOMLQLJHHGFAI28CC,33,114.04,住家用,鋼筋混凝土造,78年5月18日,五層,
