鄉鎮市區,交易標的,土地位置建物門牌,土地面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,租賃年月日,租賃筆棟數,租賃層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,有無附傢俱,總額元,單價元平方公尺,車位類別,車位面積平方公尺,車位總額元,備註,編號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,Whether there is attaches the furniture,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number
中西區,建物,臺南市中西區西門路一段７１５巷１１號,0.0,商,,,1110217,土地0建物1車位0,全,3,透天厝,住家用,加強磚造,0560810,145.03,6,2,3,有,無,無,15000,103,,0.0,0,,RPTPMLRKKHHGFAD08CC
東區,建物,臺南市東區大同路二段２４７號三樓之二,0.0,住,,,1110128,土地0建物1車位0,三層,7,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0720908,37.74,1,0,1,有,有,有,5000,132,,0.0,0,台南市不動產租賃公會民間住宅包租代管第三期計畫，租金不含管理費,RPQNMLRKKHHGFCD77CC
東區,建物,臺南市東區榮譽街１８之１號,0.0,住,,,1110128,土地0建物0車位0,全,3,透天厝,住家用,鋼筋混凝土造,0690109,35.16,1,1,1,有,無,有,9000,256,,0.0,0,,RPWNMLRKKHHGFCD38CC
東區,建物,臺南市東區中華東路二段７３巷１５號六樓之１３,0.0,住,,,1110131,土地0建物1車位0,六層,6,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0791229,46.980000000000004,1,1,1,有,有,有,5700,121,,0.0,0,社會住宅包租代管相關規定，租金已打9折,RPPOMLRKKHHGFCD77CC
東區,建物,臺南市東區青年路３９８巷１０號二樓之３,0.0,住,,,1110110,土地0建物1車位0,全,3,透天厝,住家用,鋼筋混凝土造,0850202,22.549999999999997,1,0,1,有,無,有,6000,266,,0.0,0,台南市社會住宅包租代管第二期計畫，租金不含停車位及管理費因租賃期間年份打錯撤銷重登，原申報書序號C1DC11101210005,RPUOMLRKKHHGFCD28CC
南區,建物,臺南市南區新建路１９巷８之３號,0.0,住,,,1110215,土地0建物1車位0,四層,5,公寓(5樓含以下無電梯),集合住宅,鋼筋混凝土造,0720718,75.45,3,1,1,有,無,有,13000,172,,0.0,0,,RPWPMLRKKHHGFCD58CC
歸仁區,建物,臺南市歸仁區辜厝村大順二街９號六樓之５,0.0,住,,,1110127,土地0建物1車位0,六層,7,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0830302,87.9,3,1,1,有,有,有,15000,171,,0.0,0,台南市不動產租賃公會民間住宅包租代管第三期計畫，租金不含管理費,RPSNMLRKKHHGFID58CC
歸仁區,建物,臺南市歸仁區辜厝里大順二街１１號,0.0,住,,,1110128,土地0建物1車位0,全,7,透天厝,住商用,鋼筋混凝土造,0830302,170.71,3,1,2,有,有,有,11000,64,,0.0,0,台南市不動產租賃公會民間住宅包租代管第三期計畫，租金不含管理費,RPVNMLRKKHHGFID88CC
歸仁區,建物,臺南市歸仁區仁愛六街９３號四樓之５,0.0,住,,,1110126,土地0建物1車位0,四層,5,華廈(10層含以下有電梯),集合住宅,鋼筋混凝土構造,1100507,111.77000000000001,3,1,2,有,有,有,20000,179,一樓平面,0.0,0,1.合約書無填具土地租賃面積.2.由所有權人提供出租資訊,RPROMLRKKHHGFID58CC
歸仁區,土地,歸仁南段1357地號,727.27,,一般農業區,農牧用地,1110127,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,無,53000,73,,0.0,0,含增建或未登記建物。；承租地坪約220坪，承租未保存登記建物約200坪,RPWOMLRKKHHGFID09CC
新化區,建物,臺南市新化區唪口１５１號,0.0,,鄉村區,乙種建築用地,1110127,土地0建物1車位0,全,1,透天厝,住家用,加強磚造,0690110,77.58,8,1,3,有,無,有,18000,232,一樓平面,0.0,0,1.合約書無填具土地租賃面積.2.由所有權人提供出租資訊,RPXNMLRKKHHGFHD98CC
新市區,房地(土地+建物),臺南市新市區和平街１６８巷３４號,139.24,其他,,,1110201,土地1建物1車位0,全,3,透天厝,住家用,鋼筋混凝土造,0810808,197.06,7,1,3,有,無,有,42000,213,,0.0,0,,RPOOMLRKKHHGFHD18CC
新市區,房地(土地+建物),臺南市新市區富強路５１巷２弄１１號,87.09,其他,,,1110201,土地1建物1車位0,全,2,透天厝,住家用,加強磚造,0690601,89.34,4,2,4,有,無,有,28000,313,,0.0,0,,RPPOMLRKKHHGFHD28CC
新市區,房地(土地+建物),臺南市新市區大營１３１之２１號,83.0,,特定農業區,甲種建築用地,1110217,土地1建物1車位0,全,4,透天厝,住商用,鋼筋混凝土造,0870812,198.27,5,2,3,有,無,有,30000,151,,0.0,0,,RPQOMLRKKHHGFHD38CC
新市區,房地(土地+建物),臺南市新市區復興路６２巷９號四樓之２５,18.96,其他,,,1110130,土地1建物1車位0,四層,8,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0840531,87.55,3,1,1,有,無,有,12000,137,,0.0,0,,RPTOMLRKKHHGFHD68CC
永康區,房地(土地+建物),臺南市永康區三民街１８巷１弄１０號,177.39,住,,,1110215,土地1建物1車位0,全,3,透天厝,住家用,鋼筋混凝土造,0930924,250.86,6,2,4,有,有,無,40000,159,,0.0,0,,RPPNMLRKKHHGFKD48CC
永康區,建物,臺南市永康區中華路９１７號,0.0,住,,,1110210,土地0建物0車位0,全,5,透天厝,店舖、住宅、自用貯藏室。,鋼筋混凝土造,0821123,36.05,1,0,1,有,無,有,5500,153,,0.0,0,,RPRNMLRKKHHGFKD68CC
永康區,建物,臺南市永康區中華路９１７號,0.0,住,,,1110210,土地0建物0車位0,全,5,透天厝,店舖、住宅、自用貯藏室。,鋼筋混凝土造,0821123,36.05,1,0,1,有,無,有,5500,153,,0.0,0,,RPSNMLRKKHHGFKD78CC
永康區,建物,臺南市永康區鹽洲二街１９８號五樓之２,0.0,住,,,1110213,土地0建物1車位0,五層,7,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0830602,111.6,3,1,2,有,有,有,11000,99,,0.0,0,,RPTNMLRKKHHGFKD88CC
永康區,建物,臺南市永康區復國二路６３巷８號,0.0,住,,,1110214,土地0建物1車位0,全,2,透天厝,住家用,加強磚造,0690401,112.66,6,1,5,有,無,有,26000,231,,0.0,0,,RPWNMLRKKHHGFKD56CC
永康區,建物,臺南市永康區永康里永大二路７５號,0.0,商,,,1110215,土地0建物1車位0,全,5,透天厝,住商用,鋼筋混凝土造,0850409,335.74,6,2,4,有,無,有,32000,95,,0.0,0,,RPXNMLRKKHHGFKD66CC
永康區,建物,臺南市永康區中華二路２６６巷３０號三樓之２,0.0,住,,,1110129,土地0建物1車位0,三層,7,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0870602,28.060000000000002,1,1,1,有,有,有,9000,321,,0.0,0,,RPSOMLRKKHHGFKD88CC
永康區,建物,臺南市永康區大灣路４０巷２８０弄２２號二樓之３,0.0,住,,,1110129,土地0建物1車位0,二層,5,公寓(5樓含以下無電梯),集合住宅,鋼筋混凝土構造,1101110,76.81,2,1,2,有,無,有,15000,195,,0.0,0,,RPVOMLRKKHHGFKD56CC
永康區,建物,臺南市永康區神洲里忠孝路７６巷６３弄１９號五樓,0.0,住,,,1110213,土地0建物0車位0,五層,5,公寓(5樓含以下無電梯),國民住宅,鋼筋混凝土造,0720224,27.05,1,0,1,有,無,有,4000,148,,0.0,0,,RPXOMLRKKHHGFKD76CC
永康區,建物,臺南市永康區中華路７巷２０弄３８號十三樓之５,0.0,住,,,1110128,土地0建物1車位0,十三層,17,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0840407,168.86,3,2,2,有,有,有,13000,92,坡道平面,29.75,150,,RPOPMLRKKHHGFKD58CC
永康區,建物,臺南市永康區中山南路４３巷１０弄１３號二樓,0.0,住,,,1110131,土地0建物1車位0,二層,5,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0700311,85.69,3,1,1,有,無,有,14500,169,,0.0,0,,RPPPMLRKKHHGFKD68CC
新市區,建物,臺南市新市區民族路１６巷３號,0.0,,特定農業區,甲種建築用地,1110128,土地0建物1車位0,全,1,透天厝,住家用,磚造,0660109,42.84,2,2,1,有,無,有,8000,187,,0.0,0,台南市社會住宅包租代管第二期計畫，租金不含管理費,RPVNMLSKKHHGFHD88CC
善化區,房地(土地+建物),臺南市善化區民生路２３８號,90.2,其他,,,1110217,土地1建物1車位0,見其他登記事項,3,店面(店鋪),住商用,鋼筋混凝土造,0750621,212.4,5,1,4,有,無,有,25000,118,,0.0,0,,RPVOMLSKKHHGFHD98CC
