鄉鎮市區,交易標的,土地位置建物門牌,土地面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,租賃年月日,租賃筆棟數,租賃層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,有無附傢俱,總額元,單價元平方公尺,車位類別,車位面積平方公尺,車位總額元,備註,編號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,Whether there is attaches the furniture,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number
三民區,建物,高雄市三民區鼎新路５９巷５號九樓,0.0,商,,,1101230,土地0建物1車位0,九層,13,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0940725,74.71,2,1,1,有,有,有,12000,161,,0.0,0,租金含管理費。,RPTNMLRJJHHGFDE08CC
三民區,建物,高雄市三民區愛國路９９號七樓之２０,0.0,住,,,1101230,土地0建物1車位0,七層,10,套房(1房1廳1衛),商業用,鋼筋混凝土造,0950726,21.89,1,1,1,有,有,有,7300,333,,0.0,0,租金含管理費。,RPUNMLRJJHHGFDE18CC
三民區,建物,高雄市三民區南臺路１９５巷１３號２５樓之２１,0.0,商,,,1101229,土地0建物1車位0,二十五層,25,住宅大樓(11層含以上有電梯),商業用,鋼骨鋼筋混凝土造,0870929,39.97,1,1,1,有,無,有,8500,213,,0.0,0,住宅及都市更新中心社會住宅包租代管計畫,RPVNMLRJJHHGFDE28CC
三民區,房地(土地+建物),高雄市三民區大昌二路２６８號１１樓之３５,3.9,商,,,1101224,土地1建物1車位0,十一層,14,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0880731,46.91,1,1,1,有,有,有,8500,181,,0.0,0,,RPWNMLRJJHHGFDE38CC
三民區,建物,高雄市三民區建國三路４６巷９５號,0.0,商,,,1101230,土地0建物1車位0,全,2,透天厝,住家用,加強磚造,0550326,75.66,0,2,1,有,無,無,10000,132,,0.0,0,,RPXNMLRJJHHGFDE48CC
三民區,建物,高雄市三民區澄清路６８６號１４樓,0.0,住,,,1101230,土地0建物1車位0,十四層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1010208,153.21,4,2,2,有,有,有,26000,170,,0.0,0,住宅及都市更新中心社會住宅包租代管計畫,RPQOMLRJJHHGFDE87CC
三民區,房地(土地+建物),高雄市三民區澄平街１０９號,77.0,住,,,1101221,土地2建物1車位0,全,3,透天厝,,鋼筋混凝土造,0750326,184.51,3,2,3,有,無,有,16000,87,,0.0,0,,RPSOMLRJJHHGFDE08CC
三民區,建物,高雄市三民區自由一路６８號,0.0,住,,,1101222,土地0建物0車位0,全,4,透天厝,,鋼筋混凝土造,0650518,155.07,1,2,3,有,無,有,50000,322,,0.0,0,含增建或未登記建物。；部分承租。兩位承租方，輸入其中一位資料申報。,RPPPMLRJJHHGFDE87CC
左營區,房地(土地+建物),高雄市左營區博愛三路９１號５樓之２,8.8,住,,,1101222,土地1建物1車位0,五層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0941114,83.06,2,2,1,有,有,有,17000,205,,0.0,0,,RPQPMLRJJHHGFEE08CC
左營區,建物,高雄市左營區重上街１９８巷１８弄８號３樓,0.0,商,,,1101230,土地0建物1車位0,三層,12,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0850103,141.1,3,1,2,有,有,有,18500,131,,0.0,0,住宅及都市更新中心社會住宅包租代管計畫,RPOQMLRJJHHGFEE97CC
