鄉鎮市區,交易標的,土地位置建物門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元,備註,編號,建案名稱,棟及號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number,build case,buildings
莿桐鄉,房地(土地+建物)+車位,雲林縣莿桐鄉西安路,52.13,住,,,1101204,土地2建物1車位1,五層,5,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,124.95,3,2,2,有,無,6180000,50811,一樓平面,17.1,700000,,RPUNMLOKKIGGFAP78CB,富邑皇邸21號苑,6B棟01號
莿桐鄉,房地(土地+建物)+車位,雲林縣莿桐鄉西安路,42.59,住,,,1101204,土地2建物1車位1,三層,5,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,105.22,2,2,2,有,無,5260000,51748,一樓平面,17.1,700000,,RPVNMLOKKIGGFAP88CB,富邑皇邸21號苑,3B棟02號
莿桐鄉,房地(土地+建物)+車位,雲林縣莿桐鄉西安路,56.32,住,,,1101201,土地2建物1車位1,三層,5,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,133.63,3,2,2,有,無,6530000,50030,一樓平面,17.1,700000,,RPWNMLOKKIGGFAP98CB,富邑皇邸21號苑,3B棟03號
古坑鄉,房地(土地+建物),雲林縣古坑鄉崁腳村崁腳路,30.54,,特定專用區,甲種建築用地,1101128,土地1建物1車位0,二層,7,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,112.37,2,2,2,有,無,3780000,33639,,0.0,0,,RPXNMLOKKIGGFAP09CB,鉅成 蓮珠緣,D2棟2F號
莿桐鄉,房地(土地+建物)+車位,雲林縣莿桐鄉西安路,56.32,住,,,1101201,土地2建物1車位1,二層,5,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,133.63,3,2,2,有,無,6430000,49172,一樓平面,17.1,700000,,RPOOMLOKKIGGFAP28CB,富邑皇邸21號苑,2B棟03號
古坑鄉,房地(土地+建物),雲林縣古坑鄉崁腳村崁腳路,30.54,,特定專用區,甲種建築用地,1101128,土地1建物1車位0,三層,7,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,110.52,2,2,2,有,無,3780000,34202,,0.0,0,,RPPOMLOKKIGGFAP38CB,鉅成 蓮珠緣,B2棟3F號
古坑鄉,房地(土地+建物)+車位,雲林縣古坑鄉崁腳村崁腳路,30.54,,特定專用區,甲種建築用地,1101130,土地1建物1車位1,三層,7,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,134.03,2,2,2,有,無,4380000,34202,坡道平面,23.51,600000,,RPQOMLOKKIGGFAP48CB,鉅成 蓮珠緣,A1棟3F號
莿桐鄉,房地(土地+建物),雲林縣莿桐鄉南安路,99.86,住,,,1101208,土地1建物1車位0,全,3,透天厝,住家用,鋼筋混凝土造,,169.69,5,2,2,有,無,8550000,50386,,0.0,0,,RPROMLOKKIGGFAP58CB,聚馥二期,S22棟0號
莿桐鄉,房地(土地+建物),雲林縣莿桐鄉南安路,102.97,住,,,1101207,土地1建物1車位0,全,3,透天厝,住家用,鋼筋混凝土造,,174.68,5,2,2,有,無,8520000,48775,,0.0,0,,RPSOMLOKKIGGFAP68CB,聚馥二期,S36棟0號
斗六市,房地(土地+建物),雲林縣斗六市安寧路,65.01,住,,,1101201,土地1建物1車位0,全,4,透天厝,住家用,鋼筋混凝土造,,161.56,5,2,4,有,無,14400000,89131,,0.0,0,,RPTOMLOKKIGGFAP78CB,閱文化,D棟2號
斗六市,房地(土地+建物),雲林縣斗六市安順街,66.92,住,,,1101130,土地2建物1車位0,全,4,透天厝,住家用,鋼筋混凝土造,,148.96,4,2,3,有,無,13880000,93179,,0.0,0,,RPQNMLPKKIGGFAP48CB,閱文化,C棟5號
斗六市,房地(土地+建物),雲林縣斗六市鎮北路,64.72,,鄉村區,乙種建築用地,1101119,土地4建物1車位0,全,4,透天厝,住家用,鋼筋混凝土造,,136.05,4,2,4,有,無,9050000,66520,,0.0,0,,RPRNMLPKKIGGFAP58CB,雲科莊園,B棟2號
斗六市,房地(土地+建物),雲林縣斗六市鎮北路,69.53,,鄉村區,乙種建築用地,1101120,土地4建物1車位0,全,4,透天厝,住家用,鋼筋混凝土造,,144.38,3,2,4,有,無,9500000,65799,,0.0,0,,RPSNMLPKKIGGFAP68CB,雲科莊園,D棟13-1號
斗六市,房地(土地+建物),雲林縣斗六市鎮北路,68.81,,鄉村區,乙種建築用地,1101128,土地4建物1車位0,全,4,透天厝,住家用,鋼筋混凝土造,,156.43,4,2,4,有,無,9750000,62328,,0.0,0,,RPTNMLPKKIGGFAP78CB,雲科莊園,A棟2號
斗六市,房地(土地+建物),雲林縣斗六市鎮北路,72.7,,鄉村區,乙種建築用地,1101129,土地4建物1車位0,全,4,透天厝,住家用,鋼筋混凝土造,,151.1,4,2,4,有,無,9600000,63534,,0.0,0,,RPUNMLPKKIGGFAP88CB,雲科莊園,B棟13號
斗六市,房地(土地+建物),雲林縣斗六市鎮北路,71.74,,鄉村區,乙種建築用地,1101204,土地4建物1車位0,全,4,透天厝,住家用,鋼筋混凝土造,,151.1,3,2,4,有,無,9800000,64858,,0.0,0,,RPVNMLPKKIGGFAP98CB,雲科莊園,D棟12號
斗六市,房地(土地+建物),雲林縣斗六市鎮北路,72.96,,鄉村區,乙種建築用地,1101204,土地4建物1車位0,全,4,透天厝,住家用,鋼筋混凝土造,,151.1,4,2,4,有,無,9650000,63865,,0.0,0,,RPWNMLPKKIGGFAP09CB,雲科莊園,B棟5號
斗六市,房地(土地+建物),雲林縣斗六市鎮北路,67.47,,鄉村區,乙種建築用地,1101205,土地4建物1車位0,全,4,透天厝,住家用,鋼筋混凝土造,,144.83,4,2,4,有,無,9400000,64904,,0.0,0,,RPXNMLPKKIGGFAP56CB,雲科莊園,B棟3號
斗六市,房地(土地+建物),雲林縣斗六市鎮北路,70.21,,鄉村區,乙種建築用地,1101204,土地4建物1車位0,全,4,透天厝,住家用,鋼筋混凝土造,,149.07,4,2,4,有,無,9200000,61716,,0.0,0,,RPOOMLPKKIGGFAP38CB,雲科莊園,B棟3-1號
斗六市,房地(土地+建物),雲林縣斗六市鎮北路,77.05,,鄉村區,乙種建築用地,1101204,土地4建物1車位0,全,4,透天厝,住家用,鋼筋混凝土造,,151.1,4,2,4,有,無,9700000,64196,,0.0,0,,RPPOMLPKKIGGFAP48CB,雲科莊園,B棟9號
斗六市,房地(土地+建物),雲林縣斗六市中興路,91.5,,特定農業區,甲種建築用地,1101214,土地2建物1車位0,全,4,透天厝,住家用,鋼筋混凝土造,,171.67,5,1,4,有,無,8000000,46601,,0.0,0,,RPPNMLPKKIGGFAP48DB,皇瑞臻邸,A6號
