鄉鎮市區,交易標的,土地位置建物門牌,土地面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,租賃年月日,租賃筆棟數,租賃層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,有無附傢俱,總額元,單價元平方公尺,車位類別,車位面積平方公尺,車位總額元,備註,編號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,Whether there is attaches the furniture,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number
蘆洲區,建物,新北市蘆洲區永安南路２段３２８巷１７弄３號５樓,0.0,住,,,1101115,土地0建物1車位0,五層,5,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0770202,105.11,3,1,2,有,無,有,17000,162,,0.0,0,此為新北市社會住宅包租代管計劃之物件，評定市價租金為22137，因新北市計劃租金上限為22500，選擇代租方案須打九折且簽約租金無條件捨去至百分位，房東願以較低的金額出租，故實際租賃契約金額為17000。,RPVOMLTKJIGGFGF09CC
三重區,建物,新北市三重區中正北路２０８巷７號２樓,0.0,住,,,1101116,土地0建物1車位0,二層,5,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0701123,93.0,2,1,1,有,無,無,20200,217,,0.0,0,此為新北市社會住宅包租代管計劃之物件，評定市價租金為23396，因新北市計劃租金上限為22500，選擇代租方案須打九折且簽約租金無條件捨去至百分位，實際租賃契約金額20200。,RPUPMLTKJIGGFGF09CC
蘆洲區,建物,新北市蘆洲區復興路８７巷１８號四樓,0.0,住,,,1101029,土地0建物1車位0,四層,13,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0840920,148.57999999999998,3,1,2,有,有,有,24000,162,,0.0,0,水電、瓦斯費以及管理費1550皆由承租人負擔,RPOQMLTKJIGGFGF58CC
中和區,建物,新北市中和區臺新街２５號九樓,0.0,住,,,1101103,土地0建物1車位0,九層,11,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0880717,116.37,4,1,1,有,有,有,17000,146,,0.0,0,,RPXOMLTKJIGGFHF76CC
中和區,建物,新北市中和區連勝街８０號１樓,0.0,住,,,1101115,土地0建物1車位0,一層,4,店面(店鋪),住家用,鋼筋混凝土造,0691113,107.98,0,0,0,無,無,無,50000,463,,0.0,0,,RPXPMLTKJIGGFHF86CC
中和區,建物,新北市中和區福祥路４８號三樓,0.0,商,,,1101027,土地0建物1車位0,三層,5,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0700211,80.13,3,1,1,有,無,有,14000,175,,0.0,0,水電、瓦斯費皆由承租人負擔,RPSQMLTKJIGGFHF09CC
中和區,建物,新北市中和區中和路１４６號,0.0,商,,,1101101,土地0建物1車位0,一層,23,店面(店鋪),補習班,鋼筋混凝土構造,1080522,161.56,0,0,0,無,有,無,70000,433,,0.0,0,,RPVQMLTKJIGGFHF76CC
中和區,建物,新北市中和區中正路７１６號２樓之２,0.0,工,,,1101020,土地0建物1車位0,二層,18,廠辦,廠房、辦公室,鋼筋混凝土造,0900227,166.31,0,0,0,無,有,無,43000,259,,0.0,0,分租約50坪公設按比例分配,RPWQMLTKJIGGFHF86CC
新莊區,建物,新北市新莊區瓊林路瓊英巷１３弄８號４樓,0.0,住,,,1101101,土地0建物1車位0,四層,4,套房(1房1廳1衛),住家用,鋼筋混凝土造,0680212,40.42,1,1,1,有,無,有,11000,272,,0.0,0,此為新北市社會住宅包租代管計劃之物件，評定市價租金為14085，因新北市計劃租金上限為22500，選擇代租方案須打九折且簽約租金無條件捨去至百分位，房東願以較低的金額出租，故實際租賃契約金額為11000。,RPQNMLTKJIGGFBF97CC
五股區,建物,新北市五股區五工五路１４號三樓,0.0,,工業區,丁種建築用地,1101007,土地0建物3車位10,見其他登記事項,8,廠辦,工業用,鋼筋混凝土造,0980204,2453.43,0,0,0,無,無,無,504000,205,坡道平面,0.0,0,含增建或未登記建物。；租金含稅含汽車10位及機車30位.另有管理費每月45000元.,RPVNMLTKJIGGFBF48CC
新莊區,房地(土地+建物),新北市新莊區中正路６２號三樓之一,40.44,工,,,1101008,土地1建物1車位0,三層,10,辦公商業大樓,金融機構,鋼筋混凝土造,1060501,261.98,0,0,0,無,有,無,100800,385,,0.0,0,,RPWOMLTKJIGGFBF68CC
新莊區,房地(土地+建物),新北市新莊區中正路６２號三樓之二,84.14,工,,,1101008,土地2建物2車位0,三層,10,辦公商業大樓,一般服務業,鋼筋混凝土造,1060501,544.9300000000001,0,0,0,無,有,無,157500,289,,0.0,0,,RPXOMLTKJIGGFBF78CC
泰山區,建物,新北市泰山區泰林路二段５７９巷２５號,0.0,住,,,1101101,土地0建物1車位0,一層,2,公寓(5樓含以下無電梯),住家用,加強磚造,0670908,103.44,3,2,2,有,無,有,23000,222,,0.0,0,水電、瓦斯費皆由承租人負擔,RPSRMLTKJIGGFBF58CC
新莊區,建物,新北市新莊區中平路３６巷２４號１樓,15.7,住,,,1101107,土地0建物1車位0,一層,4,公寓(5樓含以下無電梯),住家用,加強磚造,0650813,57.31,0,0,0,無,無,有,16000,279,,0.0,0,,RPVSMLTKJIGGFBF98CC
新莊區,房地(土地+建物)+車位,新北市新莊區思源路３３２巷２８號,28.0,住,,,1101113,土地1建物1車位1,一層,14,店面(店鋪),店鋪,鋼筋混凝土造,1091014,153.46,0,1,1,有,有,無,57000,371,坡道平面,36.99,0,,RPOTMLTKJIGGFBF38CC
汐止區,建物,新北市汐止區大同路二段２８５號１２樓之１,0.0,住,,,1101112,土地0建物1車位0,十二層,24,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0840126,57.08,1,1,1,有,有,有,17500,307,,0.0,0,,RPSOMLTKJIGGFDF48CC
汐止區,房地(土地+建物),新北市汐止區大同路三段６０９號１９樓之１,8.36,住,,,1101021,土地1建物1車位0,十九層,23,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0880201,73.56,2,1,1,有,有,有,13000,177,,0.0,0,含管理費每坪50元,RPQPMLTKJIGGFDF38CC
汐止區,房地(土地+建物),新北市汐止區大同路三段６１９號２７樓之３,3.91,住,,,1101027,土地1建物1車位0,二十七層,32,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0880203,41.72,1,1,1,有,有,有,9000,216,,0.0,0,含管理費每坪50元,RPSPMLTKJIGGFDF58CC
汐止區,車位,新北市汐止區大同路三段６１５號地下一樓等公共設施,4.23,住,,,1101022,土地0建物0車位1,,,其他,,,,21.35,0,0,0,有,有,無,2300,,坡道機械,21.35,2300,P4-239上，含管理費每個450元,RPWPMLTKJIGGFDF98CC
汐止區,車位,新北市汐止區大同路三段６１５號地下一樓等公共設施,7.03,住,,,1101113,土地0建物0車位1,,,其他,,,,42.69,0,0,0,有,有,無,3000,,坡道平面,42.69,3000,P3-164，含管理費每個450元,RPXPMLTKJIGGFDF09CC
汐止區,車位,新北市汐止區６０９號地下一樓等公共設施,5.5,住,,,1101021,土地0建物0車位1,,,其他,,,,69.34,0,0,0,有,有,無,3000,,坡道平面,69.34,3000,P3-A14，含管理費每個450元,RPQQMLTKJIGGFDF48CC
土城區,建物,新北市土城區福安街５５巷１９號６樓之１,0.0,住,,,1101112,土地0建物1車位0,六層,7,套房(1房1廳1衛),住家用,鋼筋混凝土造,0860202,31.689999999999998,1,0,1,有,無,有,6500,205,,0.0,0,此為新北市社會住宅包租代管計劃之物件，評定市價租金為9432，因新北市計劃租金上限為22500，選擇代租方案須打九折且簽約租金無條件捨去至百分位，房東願以較低的金額出租，故實際租賃契約金額為6500。,RPSNMLTKJIGGFAF08CC
板橋區,建物,新北市板橋區文化路二段１８２巷３弄４６之１號９樓,0.0,商,,,1101113,土地0建物1車位0,九層,13,住宅大樓(11層含以上有電梯),住家用,鋼骨構造,1030129,116.51,2,2,1,有,有,無,35000,300,,0.0,0,此案件有含機車位,RPOOMLTKJIGGFAF77CC
土城區,建物,新北市土城區南天母路１１１巷６之５號４樓,0.0,,山坡地保育區,丙種建築用地,1101116,土地0建物1車位0,四層,5,套房(1房1廳1衛),住家用,鋼筋混凝土造,0800607,65.06,1,0,1,有,無,有,7500,115,,0.0,0,此為新北市社會住宅包租代管計劃之物件，評定市價租金為14267，因新北市計劃租金上限為22500，選擇代租方案須打九折且簽約租金無條件捨去至百分位，房東願以較低的金額出租，故實際租賃契約金額為7500。,RPVPMLTKJIGGFAF58CC
