編號,屋齡,建物移轉面積平方公尺,主要用途,主要建材,建築完成日期,總層數,建物分層
The serial number,room age,building shifting area square meter,the main use,main building materials,construction completes the date,total layer,building lamination
RPOOMLNJQHGGFCT56DA,29,35.57,蓄水池機械室水箱等公共設施停車場樓梯間受電室,鋼筋混凝土造,81年10月24日,六層,
RPOOMLNJQHGGFCT56DA,29,95.98,住家用,鋼筋混凝土造,81年10月24日,六層,六層 陽台
RPQNMLKKRHGGFFT86DA,10,367.00,農業設施,鋼骨構造,100年5月3日,一層,一層
RPRNMLNKRHGGFDT17EA,26,137.90,住家用,鋼筋混凝土造,84年10月17日,四層,一層 二層 三層 四層 陽台 花台
RPRNMLQJRHGGFET37DA,,42.33,集合住宅（Ｈ２）及停車空間,鋼筋混凝土構造,110年7月16日,五層,
RPRNMLQJRHGGFET37DA,,99.70,集合住宅（Ｈ２）,鋼筋混凝土構造,110年7月16日,五層,三層 陽台
RPSNMLNJRHGGFFT27DA,27,717.25,包裝場、辦公室、倉庫、裝車柵及公廁,鐵架造,83年7月1日,一層,一層
RPTOMLNKRHGGFAT17EA,42,106.52,住家用,加強磚造,68年7月17日,二層,一層 二層
RPSOMLNKRHGGFAT07EA,42,106.52,住家用,加強磚造,68年7月17日,二層,一層 二層
RPPNMLQJRHGGFET17DA,,42.80,集合住宅（Ｈ２）及停車空間,鋼筋混凝土構造,110年7月16日,五層,
RPPNMLQJRHGGFET17DA,,105.53,集合住宅（Ｈ２）,鋼筋混凝土構造,110年7月16日,五層,五層 陽台
RPUOMLNKRHGGFAT27EA,1,90.54,集合住宅,鋼筋混凝土造,109年12月7日,五層,二層 陽台
RPUOMLNKRHGGFAT27EA,1,39.96,停車空間、公共梯間、電信機房、樓梯間、機械室,鋼筋混凝土造,109年12月7日,五層,
RPPNMLSJRHGGFET37DA,,42.33,集合住宅（Ｈ２）及停車空間,鋼筋混凝土構造,110年7月16日,五層,
RPPNMLSJRHGGFET37DA,,104.40,集合住宅（Ｈ２）,鋼筋混凝土構造,110年7月16日,五層,五層 陽台
RPQNMLNKRHGGFET07DA,25,133.37,住家用,鋼筋混凝土造,85年4月10日,三層,一層 二層 三層 陽台 屋頂突出物
RPQNMLQJRHGGFET27DA,,43.21,集合住宅（Ｈ２）及停車空間,鋼筋混凝土構造,110年7月16日,五層,
RPQNMLQJRHGGFET27DA,,102.97,集合住宅（Ｈ２）,鋼筋混凝土構造,110年7月16日,五層,四層 陽台
RPPNMLOKRHGGFET07DA,28,22.81,住家用,鋼筋混凝土造,82年11月26日,六層,四層 陽台
RPPNMLOKRHGGFET07DA,28,9.47,共用部份,鋼筋混凝土造,82年11月26日,六層,
RPQNMLTJRHGGFDT47DA,,132.00,住家用,加強磚造,66年1月0日,三層,一層 二層 三層 騎樓
RPROMLNKRHGGFAT96EA,15,.34,警衛室,鋼筋混凝土造,95年8月21日,一層,見其他登記事項
RPROMLNKRHGGFAT96EA,15,262.56,住家用,鋼筋混凝土造,95年8月21日,三層,一層 二層 三層 陽台
RPQNMLLKRHGGFDT76DA,,188.22,住家用,鋼筋混凝土構造,110年5月12日,三層,一層 二層 三層 陽台 屋頂突出物
RPXNMLNKRHGGFCT57DA,33,115.52,住家用,加強磚造,77年6月30日,二層,一層 二層 屋頂突出物
RPUNMLNKRHGGFCT27DA,16,230.99,住家用,鋼筋混凝土造,94年7月21日,四層,一層 二層 三層 四層 陽台
RPPNMLMKRHGGFCT66DA,,82.35,集合住宅,鋼筋混凝土構造,110年3月11日,五層,五層 陽台
RPPNMLMKRHGGFCT66DA,,37.25,本共有部分之項目有停車空間、公共梯間、樓梯間、電梯機械房等四項。,鋼筋混凝土構造,110年3月11日,五層,
RPRNMLOKRHGGFCT07DA,41,104.80,住商用,鋼筋混凝土造,69年3月27日,二層,一層 二層 騎樓
RPQNMLOKRHGGFCT96DA,59,105.00,住商用,鋼筋混凝土加強磚造,52年2月20日,二層,一層 二層 騎樓
RPPNMLOKRHGGFBT76DA,28,143.88,住家用,鋼筋混凝土造,82年8月30日,三層,一層 二層 三層 陽台 屋頂突出物
RPQNMLOKRHGGFBT86DA,24,180.82,住家用,鋼筋混凝土造,86年10月16日,四層,一層 二層 三層 四層 陽台
RPTNMLLKRHGGFAT76DA,27,151.37,住家用,鋼筋混凝土造,83年7月7日,四層,一層 二層 三層 四層 陽台 平台
RPRNMLKKRHGGFAT09DA,27,196.60,住家用,鋼筋混凝土造,83年3月30日,四層,一層 二層 三層 四層 陽台 屋頂突出物
RPXNMLMJRHGGFAT17DA,13,9.78,辦公室,鋼筋混凝土造,97年3月5日,四層,三層 陽台 雨遮
RPXNMLMJRHGGFAT17DA,13,4.83,辦公室、機電空間、梯廳,鋼筋混凝土造,97年3月5日,四層,
RPTOMLSJRHGGFAT47DA,27,207.68,停車空間，住宅,鋼筋混凝土造,83年4月15日,四層,一層 二層 三層 四層 陽台 平台 屋頂突出物 花台
RPXOMLRLQHGGFAT87DA,33,236.74,住家用,鋼筋混凝土造,77年4月29日,四層,一層 二層 三層 四層 屋頂突出物 騎樓
RPXNMLNKRHGGFAT37DA,28,62.98,集合住宅,鋼筋混凝土造,82年12月28日,七層,四層 陽台
RPXNMLNKRHGGFAT37DA,28,17.65,樓梯間，防空避難室，停車空間,鋼筋混凝土造,82年12月28日,七層,
RPXOMLNKRHGGFAT47DA,40,100.34,住家用,加強磚造,70年7月2日,二層,一層 二層 騎樓
RPOPMLNKRHGGFAT66DA,8,216.00,農業設施﹝溫室﹞,鋼骨構造,102年11月29日,一層,一層
RPOPMLNKRHGGFAT66DA,8,316.80,農業設施﹝溫室﹞,鋼骨構造,102年11月29日,一層,一層
RPOPMLNKRHGGFAT66DA,8,316.80,農業設施﹝溫室﹞,鋼骨構造,102年11月29日,一層,一層
RPSNMLOKRHGGFAT96DA,32,177.14,住家用,鋼筋混凝土造,78年11月5日,二層,一層 二層 屋頂突出物 夾層
RPVOMLQKQHGGFAT47DA,15,188.83,住家用,鋼筋混凝土造,95年12月19日,三層,一層 二層 三層 陽台
RPWOMLNKRHGGFAT37DA,,132.88,見其他登記事項,鋼筋混凝土造,110年6月17日,五層,
RPWOMLNKRHGGFAT37DA,,123.18,見其他登記事項,鋼筋混凝土造,110年6月17日,五層,
RPVOMLNJQHGGFAT07DA,33,159.63,住家用,加強磚造,77年3月7日,二層,一層 二層 屋頂突出物
RPWOMLQJRHGGFAT57DA,3,242.51,住家用,鋼筋混凝土造,108年1月28日,四層,一層 二層 三層 四層 陽台
RPPNMLNJRHGGFAT09DA,,168.60,住家用,鋼筋混凝土造,110年6月17日,四層,
RPPOMLQJRHGGFAT86DA,,179.87,住家用,鋼筋混凝土造,110年6月23日,三層,
RPVNMLSJRHGGFAT57DA,27,178.15,住家用,鋼筋混凝土造,83年7月7日,四層,一層 二層 三層 四層 陽台 平台
RPXNMLQJRHGGFAT57DA,,180.65,住家用,鋼筋混凝土造,110年6月23日,三層,
RPUNMLTJRHGGFAT57DA,29,158.51,住家用,鋼筋混凝土造,81年4月13日,四層,一層 二層 三層 四層 陽台
RPWNMLLKQHGGFAT96DA,,159.26,住家用,鋼筋混凝土造,110年6月17日,四層,
RPPNMLTJRHGGFCT27DA,27,201.27,住家用,鋼筋混凝土造,83年4月1日,三層,一層 二層 三層 陽台 平台
RPSOMLNKRHGGFCT17DA,18,15.59,見使用執照,鋼筋混凝土造,92年5月1日,五層,五層 陽台
RPSOMLNKRHGGFCT17DA,18,5.20,共用部份,鋼筋混凝土造,92年5月1日,五層,
RPSOMLNKRHGGFCT17DA,18,1.76,停車空間,鋼筋混凝土造,92年5月1日,五層,
RPQNMLPKRHGGFCT07DA,26,163.22,住商用,鋼筋混凝土造,84年9月6日,四層,一層 二層 三層 四層 陽台 平台
RPQNMLTJRHGGFET57DA,,42.33,集合住宅（Ｈ２）及停車空間,鋼筋混凝土構造,110年7月16日,五層,
RPQNMLTJRHGGFET57DA,,104.40,集合住宅（Ｈ２）,鋼筋混凝土構造,110年7月16日,五層,二層 陽台
