鄉鎮市區,交易標的,土地位置建物門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元,備註,編號,建案名稱,棟及號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number,build case,buildings
東區,房地(土地+建物)+車位,臺南市東區平實路,31.36,住,,,1100517,土地1建物1車位1,一層,15,住宅大樓(11層含以上有電梯),商業用,鋼筋混凝土造,,193.15,1,1,1,有,無,19800000,109281,坡道平面,26.15,1550000,交易總價含下列非屬預售屋價格之費用:親友、員工、共有人或其他特殊關係間之交易；,RPVNMLLKRHGGFCD18CB,世界·巨星,S棟1號
東區,房地(土地+建物)+車位,臺南市東區平實路,31.36,住,,,1100513,土地1建物1車位1,三層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,196.3,4,2,2,有,無,19920000,107964,坡道平面,26.15,1550000,,RPWNMLLKRHGGFCD28CB,世界·巨星,A棟5號
南區,房地(土地+建物),臺南市南區萬年七街,18.45,住,,,1100415,土地1建物1車位0,四層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,80.2,2,2,1,有,無,4110000,51247,,0.0,0,,RPXNMLLKRHGGFCD38CB,CASA,D棟2號
東區,房地(土地+建物)+車位,臺南市東區平實路,32.27,住,,,1100524,土地1建物1車位2,四層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,228.4,4,2,2,有,無,22220000,111213,坡道平面,53.42,2760000,,RPOOMLLKRHGGFCD57CB,世界·巨星,A棟5號
東區,房地(土地+建物)+車位,臺南市東區平實路,31.36,住,,,1100505,土地1建物1車位1,七層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,197.54,4,2,2,有,無,20520000,111059,坡道平面,27.27,1610000,,RPPOMLLKRHGGFCD67CB,世界·巨星,A棟5號
東區,房地(土地+建物)+車位,臺南市東區平實路,22.73,住,,,1100513,土地1建物1車位1,二層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,149.07,3,2,2,有,無,14370000,105583,坡道平面,27.27,1510000,,RPQOMLLKRHGGFCD77CB,世界·巨星,B棟1號
東區,房地(土地+建物)+車位,臺南市東區平實路,22.27,住,,,1100528,土地1建物1車位1,三層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,148.68,3,2,2,有,無,14600000,107816,坡道平面,27.27,1510000,,RPROMLLKRHGGFCD87CB,世界·巨星,B棟1號
東區,房地(土地+建物)+車位,臺南市東區平實路,22.27,住,,,1100517,土地1建物1車位1,四層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,148.68,3,2,2,有,無,14390000,106910,坡道平面,27.27,1410000,,RPSOMLLKRHGGFCD97CB,世界·巨星,B棟1號
南區,房地(土地+建物)+車位,臺南市南區萬年七街,18.45,住,,,1100314,土地1建物1車位1,十層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,104.86,2,2,1,有,無,5600000,52618,坡道平面,24.66,1380000,,RPTOMLLKRHGGFCD08CB,CASA,D棟2號
東區,房地(土地+建物)+車位,臺南市東區平實路,22.27,住,,,1100513,土地1建物1車位2,五層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,178.47,3,2,2,有,無,16610000,110946,坡道平面,57.06,3140000,,RPUOMLLKRHGGFCD18CB,世界·巨星,B棟1號
