鄉鎮市區,交易標的,土地位置建物門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元,備註,編號,建案名稱,棟及號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number,build case,buildings
壯圍鄉,房地(土地+建物),宜蘭縣壯圍鄉中興六路35巷,168.88,,特定農業區,甲種建築用地,1100420,土地4建物1車位0,全,3,透天厝,住家用,鋼筋混凝土造,,144.67,4,2,3,有,無,7800000,53916,,0.0,0,含2筆農地土地持分，價金380000元整A21戶原合約書地號830、830-1等2筆地號,RPVNMLKLRHGGFBG38CB,新元墅6,
宜蘭市,房地(土地+建物)+車位,宜蘭縣宜蘭市民族路,3.04,住,,,1100318,土地1建物1車位2,七層,14,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,184.26,3,2,2,有,無,12600000,80318,坡道平面,56.02,2300000,,RPQNMLMLRHGGFBG08CB,謙和,
宜蘭市,房地(土地+建物)+車位,宜蘭縣宜蘭市民族路,2.06,住,,,1100304,土地1建物1車位1,三層,14,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,112.15,2,2,1,有,無,8300000,81357,坡道平面,24.88,1200000,,RPRNMLMLRHGGFBG18CB,謙和,
宜蘭市,房地(土地+建物)+車位,宜蘭縣宜蘭市民族路,3.0,住,,,1090902,土地1建物1車位2,四層,14,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,176.29,3,2,2,有,無,12650000,82194,坡道平面,49.76,2250000,,RPSNMLMLRHGGFBG28CB,謙和,
宜蘭市,房地(土地+建物)+車位,宜蘭縣宜蘭市民族路,2.06,住,,,1100128,土地1建物1車位1,四層,14,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,112.15,2,2,1,有,無,8080000,80555,坡道平面,24.88,1050000,,RPTNMLMLRHGGFBG38CB,謙和,
宜蘭市,房地(土地+建物)+車位,宜蘭縣宜蘭市民族路,2.38,住,,,1100108,土地1建物1車位1,五層,14,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,125.62,2,2,2,有,無,9070000,79611,坡道平面,24.88,1050000,,RPUNMLMLRHGGFBG48CB,謙和,
宜蘭市,房地(土地+建物)+車位,宜蘭縣宜蘭市民族路,2.06,住,,,1100115,土地1建物1車位1,四層,14,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,112.15,2,2,1,有,無,8020000,79867,坡道平面,24.88,1050000,,RPVNMLMLRHGGFBG58CB,謙和,
宜蘭市,房地(土地+建物)+車位,宜蘭縣宜蘭市民族路,2.38,住,,,1100409,土地1建物1車位1,四層,14,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,125.62,2,2,2,有,無,9100000,79909,坡道平面,24.88,1050000,,RPWNMLMLRHGGFBG68CB,謙和,
宜蘭市,房地(土地+建物)+車位,宜蘭縣宜蘭市民族路,2.27,住,,,1100128,土地1建物1車位1,二層,14,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,119.67,2,2,2,有,無,8680000,80664,坡道平面,23.84,950000,,RPXNMLMLRHGGFBG78CB,謙和,
宜蘭市,房地(土地+建物)+車位,宜蘭縣宜蘭市民族路,2.39,住,,,1100409,土地1建物1車位2,八層,14,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,150.5,2,2,2,有,無,10200000,80405,坡道平面,49.76,2100000,,RPOOMLMLRHGGFBG97CB,謙和,
宜蘭市,房地(土地+建物)+車位,宜蘭縣宜蘭市民族路,2.99,住,,,1100521,土地1建物1車位1,五層,14,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,151.41,3,2,2,有,無,11340000,81325,坡道平面,24.88,1050000,,RPPOMLMLRHGGFBG08CB,謙和,
宜蘭市,房地(土地+建物)+車位,宜蘭縣宜蘭市民族路,2.99,住,,,1100330,土地1建物1車位1,六層,14,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,151.41,3,2,2,有,無,11470000,81167,坡道平面,24.88,1200000,,RPQOMLMLRHGGFBG18CB,謙和,
宜蘭市,房地(土地+建物)+車位,宜蘭縣宜蘭市民族路,2.95,住,,,1100908,土地1建物1車位1,五層,13,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,149.91,3,2,2,有,無,11110000,80461,坡道平面,24.88,1050000,,RPTOMLMLRHGGFBG48CB,謙和,
宜蘭市,房地(土地+建物)+車位,宜蘭縣宜蘭市民族路,2.74,住,,,1100625,土地1建物1車位1,六層,13,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,141.09,3,2,2,有,無,10380000,80286,坡道平面,24.88,1050000,,RPUOMLMLRHGGFBG58CB,謙和,
宜蘭市,房地(土地+建物)+車位,宜蘭縣宜蘭市民族路,2.85,住,,,1091222,土地1建物1車位1,二層,13,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,145.25,3,2,2,有,無,11080000,82080,坡道平面,24.88,1200000,,RPWOMLMLRHGGFBG78CB,謙和,
宜蘭市,房地(土地+建物)+車位,宜蘭縣宜蘭市民族路,2.85,住,,,1100826,土地1建物1車位1,三層,13,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,145.25,3,2,2,有,無,10550000,78923,坡道平面,24.88,1050000,,RPXOMLMLRHGGFBG88CB,謙和,
宜蘭市,房地(土地+建物)+車位,宜蘭縣宜蘭市民族路,2.85,住,,,1100108,土地1建物1車位1,四層,13,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,145.25,3,2,2,有,無,10300000,76846,坡道平面,24.88,1050000,,RPOPMLMLRHGGFBG08CB,謙和,
宜蘭市,房地(土地+建物)+車位,宜蘭縣宜蘭市民族路,2.85,住,,,1100521,土地1建物1車位1,五層,13,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,145.25,3,2,2,有,無,10520000,78674,坡道平面,24.88,1050000,,RPPPMLMLRHGGFBG18CB,謙和,
宜蘭市,房地(土地+建物)+車位,宜蘭縣宜蘭市民族路,2.85,住,,,1100827,土地1建物1車位1,六層,13,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,145.25,3,2,2,有,無,10890000,80502,坡道平面,24.88,1200000,,RPQPMLMLRHGGFBG28CB,謙和,
宜蘭市,房地(土地+建物)+車位,宜蘭縣宜蘭市民族路,2.95,住,,,1100108,土地1建物1車位1,十二層,13,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,149.91,3,2,2,有,無,10850000,78381,坡道平面,24.88,1050000,,RPRPMLMLRHGGFBG38CB,謙和,
宜蘭市,房地(土地+建物)+車位,宜蘭縣宜蘭市民族路,2.74,住,,,1100128,土地1建物1車位1,五層,13,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,141.09,3,2,2,有,無,10080000,77704,坡道平面,24.88,1050000,,RPSPMLMLRHGGFBG48CB,謙和,
