鄉鎮市區,交易標的,土地位置建物門牌,土地面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,租賃年月日,租賃筆棟數,租賃層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,有無附傢俱,總額元,單價元平方公尺,車位類別,車位面積平方公尺,車位總額元,備註,編號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,Whether there is attaches the furniture,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number
北投區,建物,臺北市北投區中央北路四段５８３巷１０弄７號三樓之１,0.0,住,,,1101022,土地0建物1車位0,三層,5,套房(1房1廳1衛),住家用,鋼筋混凝土造,1050817,54.22,1,1,1,有,有,有,15900,293,,0.0,0,,RPWNMLKKJIGGFEA47CC
北投區,建物,臺北市北投區中央北路三段１９８號,0.0,住,,,1100925,土地0建物1車位0,全,2,透天厝,住家用,加強磚造,0610705,163.2,0,0,0,無,無,無,30000,184,,0.0,0,,RPOOMLKKJIGGFEA76CC
士林區,建物,臺北市士林區承德路四段４０巷８０號三樓,0.0,住,,,1101102,土地0建物1車位0,三層,3,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0640418,83.33,3,2,2,有,無,有,15000,180,,0.0,0,,RPQOMLKKJIGGFEA96CC
士林區,建物,臺北市士林區社子街１１５巷２０弄１３號４樓,0.0,住,,,1101022,土地0建物1車位0,四層,4,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0621217,58.87,2,1,1,有,無,有,14900,253,,0.0,0,,RPROMLKKJIGGFEA07CC
士林區,建物,臺北市士林區忠誠路二段１４８巷１４號５樓,0.0,住,,,1101023,土地0建物1車位0,五層,5,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0700403,84.84,2,1,1,有,無,有,24500,289,,0.0,0,,RPSOMLKKJIGGFEA17CC
北投區,建物,臺北市北投區中央北路三段２００號,0.0,住,,,1100925,土地0建物1車位0,全,2,透天厝,住家用,加強磚造,0610705,164.9,0,0,0,無,無,無,30000,182,,0.0,0,,RPUOMLKKJIGGFEA37CC
北投區,建物,臺北市北投區大業路２８０巷１７之１號三樓,0.0,住,,,1101030,土地0建物1車位0,三層,4,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0671011,93.07,3,2,1,有,無,有,22000,236,,0.0,0,,RPWOMLKKJIGGFEA57CC
信義區,建物,臺北市信義區忠孝東路五段４２３巷４弄１５號四樓,0.0,住,,,1101020,土地0建物1車位0,四層,5,公寓(5樓含以下無電梯),集合住宅,鋼筋混凝土造,0780428,122.36,3,2,2,有,無,有,35000,286,,0.0,0,國家住宅及都市更新中心110年社會住宅包租代管第三期計畫,RPTNMLKKJIGGFDA07CC
南港區,房地(土地+建物),臺北市南港區經貿二路１９５號１１樓,0.0,商,,,1101103,土地1建物1車位0,十一層,23,辦公商業大樓,一般事務所,鋼骨造,1090110,368.54,0,0,0,無,有,無,210000,570,,0.0,0,,RPOOMLKKJIGGFDA66CC
南港區,建物,臺北市南港區忠孝東路六段１０４號１樓,54.68,住,,,1101027,土地0建物1車位0,一層,16,店面(店鋪),一般零售業甲組,鋼筋混凝土造,1040325,160.05,0,2,2,有,有,有,60000,375,,0.0,0,,RPQOMLKKJIGGFDA86CC
