鄉鎮市區,交易標的,土地位置建物門牌,土地面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,租賃年月日,租賃筆棟數,租賃層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,有無附傢俱,總額元,單價元平方公尺,車位類別,車位面積平方公尺,車位總額元,備註,編號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,Whether there is attaches the furniture,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number
信義區,建物,基隆市信義區深澳坑路１６８巷５０弄２２號２樓,0.0,住,,,1100813,土地0建物1車位0,二層,4,公寓(5樓含以下無電梯),住宅（夾層）儲藏室,鋼筋混凝土造,0840610,64.58,3,2,2,有,無,有,8000,124,,0.0,0,108年度基隆市社會住宅包租代管第二期計畫,RPXNMLLKRHGGFDC48CC
中山區,建物,基隆市中山區西定路４４７之２號,0.0,住,,,1100813,土地0建物1車位0,三層,4,公寓(5樓含以下無電梯),住家用,鋼筋混凝土加強磚造,,45.33,2,2,1,有,無,有,7500,165,,0.0,0,108年度基隆市社會住宅包租代管第二期計畫,RPOOMLLKRHGGFDC67CC
仁愛區,建物,基隆市仁愛區南榮路３９３巷４４弄３之２號,0.0,住,,,1100813,土地0建物1車位0,三層,4,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0680314,70.71,2,1,1,有,無,有,14000,198,,0.0,0,108年度基隆市社會住宅包租代管第二期計畫,RPPOMLLKRHGGFDC77CC
安樂區,建物,基隆市安樂區麥金路５６６之２號,0.0,住,,,1100814,土地0建物1車位0,三層,5,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0700605,79.61,3,1,1,有,無,有,9000,113,,0.0,0,108年度基隆市社會住宅包租代管第二期計畫,RPQOMLLKRHGGFDC87CC
暖暖區,建物,基隆市暖暖區碇內街３３４號４樓,0.0,住,,,1100815,土地0建物1車位0,四層,6,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0840228,68.28,3,2,2,有,無,有,7800,114,,0.0,0,108年度基隆市社會住宅包租代管第二期計畫,RPROMLLKRHGGFDC97CC
中正區,建物,基隆市中正區觀海街１４５號６樓,0.0,住,,,1100818,土地0建物1車位0,六層,16,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0880114,57.41,2,1,2,有,無,有,9500,165,,0.0,0,108年度基隆市社會住宅包租代管第二期計畫,RPSOMLLKRHGGFDC08CC
暖暖區,建物,基隆市暖暖區寧靜街１５１之２１號,0.0,住,,,1100814,土地0建物1車位0,二層,4,公寓(5樓含以下無電梯),住家用,鋼筋混凝土加強磚造,0660209,59.65,2,1,1,有,無,有,7000,117,,0.0,0,108年度基隆市社會住宅包租代管第二期計畫,RPTOMLLKRHGGFDC18CC
安樂區,建物,基隆市安樂區中和路８５巷２３號２樓之４,0.0,其他,,,1100830,土地0建物1車位0,二層,11,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0860508,53.1,3,1,2,有,無,有,10000,188,,0.0,0,108年度基隆市社會住宅包租代管第二期計畫,RPVOMLLKRHGGFDC38CC
中山區,建物,基隆市中山區中山一路２４１巷１８弄１０號,0.0,住,,,1100819,土地0建物1車位0,一層,5,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0820531,71.07,3,2,1,有,無,有,10000,141,,0.0,0,108年度基隆市社會住宅包租代管第二期計畫,RPWOMLLKRHGGFDC48CC
七堵區,房地(土地+建物),基隆市七堵區工建路１之２１號,23.29,工,,,1100801,土地1建物1車位0,見其他登記事項,4,工廠,地面一至四層：一般事務所,鋼筋混凝土造,0971003,148.17,5,1,5,有,無,有,14000,,,0.0,0,,RPXNMLOKRHGGFDC78CC
信義區,建物,基隆市信義區正信路２２７巷２３弄４８號３樓,0.0,住,,,1100819,土地0建物1車位0,三層,6,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0860607,85.96,3,2,2,有,無,有,13500,157,,0.0,0,108年度基隆市社會住宅包租代管第二期計畫,RPOOMLOKRHGGFDC97CC
